id,name,source,prescription_required,retail_price,discounted_price,manufacturer,packaging_form,salts,quantity_num,cluster
source_6-75729,dolo cold strip 10 tablet,source_6,True,35.44,31.19,micro labs,STRIP,caffeine 30 0 mg phenylephrine 10 0 mg chlorpheniramine chlorphenamine 2 0 mg paracetamol acetaminophen 500 0 mg,10.0,29
source_6-75730,dolo cold syrup 50 ml,source_6,True,33.6,29.57,micro labs,BOTTLE,unknown,1.0,1
source_6-75731,dolo cold syrup 60ml,source_6,True,53.55,47.12,micro labs,BOTTLE,chlorpheniramine paracetamol pseudoephedrine,60.0,30
source_7-90348,dolo drop,source_7,False,30.07,22.5,micro labs ltd,Unknown,paracetamol 100mg ml,15.0,30
source_6-75733,dolo g tablet,source_6,True,30.91,27.2,integra life sciences pvt ltd,STRIP,dicyclomine mefenamic acid,10.0,27
source_6-75734,dolo infusion 100ml,source_6,True,75.03,66.03,micro labs,BOTTLE,paracetamol acetaminophen 1 0 g,100.0,30
source_1-65085,dolo infusion 100 ml,source_1,True,331.0,291.3,micro labs ltd,Bottle | Infusion,paracetamol 1000mg,100.0,30
source_1-65086,dolo ivg 1 infusion 100 ml,source_1,True,401.0,352.9,micro labs ltd,Bottle | Infusion,paracetamol 1000mg,100.0,30
source_6-75735,dolo k 50 mg strip 10 tablet,source_6,True,7.5,6.6,bosch pharmaceuticals pvt ltd,STRIP,diclofenac 50 0 mg,10.0,27
source_6-75736,dolo tablet,source_6,True,38.1,33.53,integra life sciences pvt ltd,STRIP,drotaverine mefenamic acid,10.0,27
source_6-75737,dolo mf bottle 60ml suspension,source_6,True,57.51,50.61,micro labs,BOTTLE,mefenamic acid 100 0 mg 5ml paracetamol acetaminophen 250 0 mg 5ml,60.0,30
source_6-75738,dolo mf junior bottle 60ml suspension,source_6,True,52.0,44.2,micro labs,BOTTLE,paracetamol acetaminophen 125 0 mg 5ml mefenamic acid 50 0 mg 5ml,60.0,30
source_7-90349,dolo mf junior oral suspension,source_7,True,56.5,50.85,micro labs ltd,Unknown,mefenamic acid 50mg 5ml paracetamol 125mg 5ml,60.0,30
source_1-65087,dolo mf junior oral suspension 60 ml,source_1,True,56.5,49.8,micro labs ltd,Bottle | Suspension,mefenamic acid 50mg paracetamol 125mg,60.0,30
source_2-39587,dolo mf oral suspension,source_2,True,49.0,40.18,micro labs ltd,Unknown,mefenamic acid 100mg paracetamol acetaminophen 250,30.0,30
source_1-65088,dolo mf susp 60ml,source_1,True,63.0,55.4,micro labs ltd,Bottle | Suspension,mefenamic acid 100mg paracetamol 250mg,60.0,30
source_6-75739,dolo micro lab forte 500 mg tablet 10,source_6,False,14.95,14.95,micro labs,STRIP,paracetamol acetaminophen 500 0 mg,10.0,30
source_1-65089,dolo oral drop 15 ml,source_1,False,30.0,26.4,micro labs ltd,Bottle | Oral Drops,paracetamol 100mg,15.0,30
source_6-75740,dolo pain relief bottle 35gm spray,source_6,False,83.5,73.48,micro labs,BOTTLE,diclofenac 1 16 menthol 5 0 methyl salicylate 10 0 linseed oil 3 0,35.0,5
source_2-39588,dolo pain relief spray,source_2,False,143.65,136.47,micro labs ltd,Unknown,unknown,12.8,1
source_1-65090,dolo pain relief spray 35 gm,source_1,False,91.0,80.1,micro labs ltd,Bottle | Spray,unknown,35.0,1
source_1-65091,dolo pain relief spray 55 gm,source_1,False,143.5,126.3,micro labs ltd,Bottle | Spray,diclofenac 1 16 w v linseed oil 3 w v menthol 5 w v methyl salicylate 10 w v,55.0,5
source_6-75741,dolo plus tablet,source_6,True,10.0,8.8,mankind pharmaceuticals ltd,STRIP,diclofenac 50 0 mg paracetamol acetaminophen 500 0 mg,10.0,27
source_6-75742,dolo relieve tablet,source_6,True,18.0,15.84,medico health care,STRIP,diclofenac 50 0 mg paracetamol acetaminophen 500 0 mg,10.0,27
source_2-39589,dolo soft mr 100mg 2mg tablet,source_2,True,47.0,38.54,gujarat liqui pharmacaps pvt ltd,Unknown,nimesulide 100mg tizanidine 2mg,40.0,23
source_2-39590,dolo sp 500mg tablet,source_2,True,68.75,56.38,bioguard organics ltd,Unknown,paracetamol acetaminophen 500mg,18.0,30
source_6-75743,dolo suspension 60ml,source_6,False,51.0,44.37,micro labs,BOTTLE,paracetamol acetaminophen 156 25 mg 5ml,60.0,30
source_1-65092,dolo suspension 60 ml,source_1,False,56.0,49.3,micro labs ltd,Bottle | Suspension,paracetamol 125mg,60.0,30
source_7-90352,dolo tablet,source_7,True,145.60905632772494,117.88129046242776,micro labs ltd,Unknown,tramadol 37 5mg paracetamol 325mg,22.986317567567568,28
source_1-65093,dolo tablet 10,source_1,True,123.0,108.2,micro labs ltd,Strip | Tablet,paracetamol 325mg tramadol 37 5mg,10.0,28
source_7-90353,dolo th 4 tablet,source_7,True,189.7,157.5,micro labs ltd,Unknown,paracetamol 500mg thiocolchicoside 4mg,10.0,27
source_1-65094,dolo th 4 tablet 10,source_1,True,189.5,166.8,micro labs ltd,Strip | Tablet,paracetamol 500mg thiocolchicoside 4mg,10.0,27
source_1-65095,dolo xtraa tablet 15,source_1,False,47.0,41.4,micro labs ltd,Strip | Tablet,caffeine 50mg paracetamol 650mg,15.0,29
source_2-39591,doloact 25mg injection,source_2,True,6.66,5.46,ochoa laboratories ltd,Unknown,diclofenac 25mg,7.0,27
source_6-75744,doloact 25mg injection 3ml,source_6,True,6.66,5.86,ochoa laboratiories ltd,INJECTION,diclofenac 25 0 mg,3.0,27
source_2-39592,doloact 50mg tablet dt,source_2,True,11.26,9.23,ochoa laboratories ltd,Unknown,diclofenac 50mg,15.0,27
source_6-75745,doloact dt tablet,source_6,True,11.26,11.26,ochoa laboratiories ltd,STRIP,diclofenac 50 0 mg,10.0,27
source_6-75746,doloact gel 30gm,source_6,False,51.0,44.88,ochoa laboratiories ltd,TUBE,diclofenac 1 16,30.0,5
source_6-75747,doloact mouth paint,source_6,True,55.0,48.4,bmw pharmaco india pvt ltd,BOTTLE,beclomethasone clotrimazole,10.0,4
source_2-39593,doloact mr 250mg 46 5mg 500mg tablet,source_2,True,40.96,33.59,ochoa laboratories ltd,Unknown,chlorzoxazone 250mg diclofenac 46 5mg paracetamol,38.0,27
source_7-90355,doloact mr 250mg 46 5mg 500mg tablet dt,source_7,True,40.96,39.7,ochoa laboratories ltd,Unknown,chlorzoxazone 250mg diclofenac 46 5mg paracetamol 500mg,10.0,27
source_6-75748,doloact mr dt strip 10 tablet,source_6,True,40.0,35.2,ochoa laboratiories ltd,STRIP,chlorzoxazone diclofenac sodium paracetamol,10.0,27
source_7-90356,doloact plus 50mg 500mg tablet,source_7,True,17.1,16.6,ochoa laboratories ltd,Unknown,diclofenac 50mg paracetamol 500mg,10.0,27
source_6-75749,doloact plus dt strip 10 tablet,source_6,True,16.0,14.08,ochoa laboratiories ltd,STRIP,diclofenac sodium paracetamol,10.0,27
source_6-75750,doloact plus gel 30gm,source_6,True,14.0,12.32,ochoa laboratiories ltd,TUBE,diclofenac linseed oil menthol methyl salicylate,30.0,5
source_7-90357,doloage 20mg injection,source_7,True,145.60905632772494,117.88129046242776,allenge india,Unknown,piroxicam 20mg,22.986317567567568,18
source_7-90358,doloage 20mg tablet,source_7,True,32.0,31.0,allenge india,Unknown,piroxicam 20mg,10.0,17
source_6-75751,doloage 20mg tablet,source_6,True,28.0,24.64,allenge india pharmaceuticals pvt ltd,STRIP,piroxicam 20 0 mg,10.0,17
source_6-75752,doloage injection,source_6,True,168.0,147.84,allenge india pharmaceuticals pvt ltd,INJECTION,piroxicam 40 0 mg,2.0,18
source_7-90359,doloage p 325mg 20mg tablet,source_7,True,68.0,65.9,allenge india,Unknown,paracetamol 325mg piroxicam 20mg,10.0,27
source_1-65096,doloar mr tablet 10,source_1,True,95.0,83.6,unibiotech health care pvt ltd,Strip | Tablet,aceclofenac 100mg chlorzoxazone 250mg paracetamol 325mg,10.0,27
source_1-65097,doloar sp tab 10,source_1,True,110.0,96.8,unibiotech health care pvt ltd,Strip | Tablet,aceclofenac 100mg paracetamol 325mg serratiopeptidase 15mg,10.0,27
source_7-90360,dolobak 100mg 450mg tablet,source_7,True,123.0,119.0,micro labs ltd,Unknown,paracetamol 100mg chlormezanone 450mg,10.0,30
source_2-39597,dolobak 450 mg 100 mg tablet,source_2,True,56.0,45.92,micro labs ltd,Unknown,paracetamol acetaminophen 450mg chlormezanone 100m,20.0,30
source_6-75753,dolobak strip 10 tablet,source_6,True,123.75,108.9,micro labs,STRIP,tramadol 37 5 mg paracetamol acetaminophen 325 0 mg,10.0,28
source_7-90361,dolobak tablet,source_7,True,145.60905632772494,117.88129046242776,micro labs ltd,Unknown,tramadol 37 5mg paracetamol 325mg,22.986317567567568,28
source_1-65098,dolobak tablet 10,source_1,True,135.0,118.8,micro labs ltd,Strip | Tablet,paracetamol 325mg tramadol 37 5mg,10.0,28
source_7-90362,doloban 100mg tablet sr,source_7,True,38.1,36.9,mankind pharma ltd,Unknown,diclofenac 100mg,10.0,27
source_7-90363,doloban 25mg injection,source_7,True,10.5,10.2,mankind pharma ltd,Unknown,diclofenac 25mg,3.0,27
source_6-75754,doloban aqua 75mg ampoule 1ml injection,source_6,True,423.0,372.24,mankind pharmaceuticals ltd,AMPOULE,diclofenac 75 0 mg,1.0,27
source_2-39598,doloban aqua 75mg injection,source_2,True,22.0,18.04,mankind pharma ltd,Unknown,diclofenac 75mg,16.4,27
source_1-65099,doloban aqua injection 1ml,source_1,True,22.0,19.36,mankind pharma pvt ltd,Vial | Injection,diclofenac 75mg,1.0,27
source_6-75755,doloban injection 3ml,source_6,True,4.57,4.02,mankind pharmaceuticals ltd,AMPOULE,diclofenac 25 0 mg,3.0,27
source_6-75756,doloban injection 30ml,source_6,True,31.42,27.65,mankind pharmaceuticals ltd,VIAL,diclofenac 25 0 mg,30.0,27
source_6-75757,doloban mr 50 2 mg tablet mr 10,source_6,True,9.9,8.71,mankind pharmaceuticals ltd,STRIP,tizanidine 2 0 mg diclofenac 50 0 mg,10.0,27
source_6-75758,doloban plus vet bolus,source_6,True,28.0,24.64,mankind pharmaceuticals ltd,STRIP,chlorzoxazone nimesulide paracetamol,8.4,23
source_6-75759,doloban plus vet injection,source_6,True,93.0,81.84,mankind pharmaceuticals ltd,AMPOULE,nimesulide paracetamol,30.0,23
source_6-75760,doloban plus vet injection 90ml,source_6,True,275.0,242.0,mankind pharmaceuticals ltd,AMPOULE,nimesulide paracetamol,90.0,23
source_7-90366,doloban tablet,source_7,True,62.0,60.1,mankind pharma ltd,Unknown,diclofenac 50mg serratiopeptidase 15mg,10.0,27
source_6-75761,doloban sr 100mg strip 10 tablet,source_6,True,38.1,33.53,mankind pharmaceuticals ltd,STRIP,diclofenac 100 0 mg,10.0,27
source_6-75762,doloban strip 10 tablet,source_6,True,40.0,35.2,mankind pharmaceuticals ltd,STRIP,chlorzoxazone diclofenac paracetamol,10.0,27
source_2-39599,dolobest 100mg tablet,source_2,True,71.42,58.56,ttk healthcare ltd,Unknown,aceclofenac 100mg,10.2,20
source_2-39600,dolobest 200mg tablet sr,source_2,True,26.63,21.84,ttk healthcare ltd,Unknown,aceclofenac 200mg,16.8,20
source_2-39601,dolobest mr 100mg 500mg 250mg tablet,source_2,True,130.0,106.6,ttk healthcare ltd,Unknown,aceclofenac 100mg paracetamol acetaminophen 500mg,64.0,27
source_6-75763,dolobest mr strip 10 tablet,source_6,True,130.0,114.4,ttk healthcare ltd,STRIP,aceclofenac 100 0 mg chlorzoxazone 250 0 mg paracetamol acetaminophen 500 0 mg,10.0,27
source_1-65101,dolobest mr tablet,source_1,True,130.0,114.4,ttk healthcare,Strip | Tablet,aceclofenac 100mg chlorzoxazone 250mg paracetamol 500mg,10.0,27
source_2-39602,dolobest od 200mg tablet,source_2,True,45.7,37.47,ttk healthcare ltd,Unknown,aceclofenac 200mg,27.4,20
source_6-75764,dolobest od strip 10 tablet,source_6,True,45.7,40.22,ttk healthcare ltd,STRIP,aceclofenac 200 0 mg,10.0,20
source_7-90371,dolobest p 100 mg 500 mg tablet,source_7,True,40.4,39.2,ttk healthcare ltd,Unknown,aceclofenac 100mg paracetamol 500mg,10.0,27
source_6-75765,dolobest p strip 10 tablet,source_6,True,29.0,25.52,ttk healthcare ltd,STRIP,aceclofenac 100 0 mg paracetamol acetaminophen 500 0 mg,10.0,27
source_1-65102,dolobest p tablet 10,source_1,True,40.4,35.552,ttk healthcare ltd,Strip | Tablet,aceclofenac 100mg paracetamol 500mg,10.0,27
source_7-90372,dolobest sp 100mg 500mg 15mg tablet,source_7,True,73.5,71.3,ttk healthcare ltd,Unknown,aceclofenac 100mg paracetamol 500mg serratiopeptidase 15mg,10.0,27
source_6-75766,dolobest sp strip 10 tablet,source_6,True,57.8,50.86,ttk healthcare ltd,STRIP,aceclofenac paracetamol serratiopeptidase,10.0,27
source_6-75767,dolobest sr 200 mg tablet 10,source_6,True,26.63,23.43,ttk healthcare ltd,STRIP,aceclofenac 200 0 mg,10.0,20
source_6-75768,dolobest strip 10 tablet,source_6,True,19.9,17.51,ttk healthcare ltd,STRIP,aceclofenac 100 0 mg,10.0,20
source_1-65103,dolobid 50mg 15mg tablet,source_1,True,70.0,61.6,apotex life sciences,Strip | Tablet,diclofenac 50mg serratiopeptidase 15mg,10.0,27
source_6-75769,dolobid oint 30gm,source_6,True,87.19,76.73,apotex pharmachem india pvt ltd,TUBE,diclofenac menthol methyl salicylate,30.0,5
source_2-39605,dolobrake capsule,source_2,True,60.5,49.61,mankind pharma ltd,Unknown,diclofenac 100mg rabeprazole 20mg,18.4,25
source_1-65104,dolobrake mr 500mg 50mg 325mg tablet,source_1,True,85.0,74.8,mankind pharma ltd,Strip | Tablet,chlorzoxazone 500mg diclofenac 50mg paracetamol 325mg,10.0,27
source_7-90375,dolobrake sp 50mg 325mg 15mg tablet,source_7,True,90.2,86.0,mankind pharma ltd,Unknown,diclofenac 50mg paracetamol 325mg serratiopeptidase 15mg,10.0,27
source_7-90376,doloby plus 100mg 500mg tablet,source_7,True,145.60905632772494,117.88129046242776,boyeger biotech pvt ltd,Unknown,aceclofenac 100mg paracetamol 500mg,22.986317567567568,27
source_7-90377,dolocaf extra tablet,source_7,False,40.0,38.8,hnf care pvt ltd,Unknown,caffeine 50mg paracetamol 650mg,10.0,29
source_7-90379,dolocaine cream,source_7,False,196.0,184.0,cadila pharmaceuticals ltd,Unknown,prilocaine 25mg gm lidocaine 25mg gm,5.0,14
source_6-75771,dolocaine cream 15gm,source_6,False,319.56,281.21,zydus healthcare ltd,TUBE,prilocaine 2 5 lidocaine lignocaine 2 5,15.0,14
source_1-65107,dolocaine cream 30 gm,source_1,False,835.0,734.8,zydus cadila healthcare ltd,Tube | Cream,lidocaine 25mg prilocaine 25mg,30.0,14
source_6-75772,dolocaine cream 30gm,source_6,False,708.5,708.5,cadila pharmaceuticals ltd,TUBE,prilocaine 2 5 lidocaine lignocaine 2 5,30.0,14
source_1-65108,dolocaine cream 5gm,source_1,True,127.0,111.8,cadila healthcare ltd,Tube | Cream,lidocaine 2 5 w w prilocaine 2 5 w w,5.0,14
source_7-90380,dolocalm 75mg injection,source_7,True,14.0,13.6,sanes pharmaceuticals,Unknown,diclofenac 75mg,1.0,27
source_7-90381,dolocalm forte 50mg 500mg tablet,source_7,True,30.0,29.1,sanes pharmaceuticals,Unknown,diclofenac 50mg paracetamol 500mg,10.0,27
source_6-75774,dolocalm forte tablet,source_6,True,30.0,26.4,sresan pharmaceuticals,STRIP,diclofenac sodium paracetamol,10.0,27
source_6-75775,dolocalm gel,source_6,False,90.0,79.2,sresan pharmaceuticals,TUBE,diclofenac linseed oil menthol methyl salicylate,30.0,5
source_6-75776,dolocalm injection,source_6,True,50.88,44.77,sresan pharmaceuticals,INJECTION,diclofenac sodium,1.0,27
source_7-90383,dolocam 20mg tablet,source_7,True,50.88,49.3,cipla ltd,Unknown,piroxicam 20mg,10.0,17
source_6-75777,dolocam 20 mg tablet 10,source_6,True,50.88,44.77,cipla ltd,STRIP,piroxicam 20 0 mg,10.0,17
source_7-90384,dolocam 20mg tablet dt,source_7,True,68.8,66.7,bhavishya pharmaceuticals pvt ltd,Unknown,piroxicam 20mg,25.0,17
source_6-75778,dolocam dt 20mg tablet,source_6,True,33.0,29.04,cipla ltd,STRIP,piroxicam 20 0 mg,10.0,17
source_6-75779,dolocare 100 mg tablet,source_6,True,50.0,44.0,alkem laboratories ltd,STRIP,unknown,10.0,1
source_1-65111,dolocare 1000mg tablet,source_1,True,50.0,44.0,eurocare,Strip | Tablet,paracetamol 1000mg,10.0,30
source_6-75780,dolocare 20mg tablet,source_6,True,7.0,6.16,vensat bio,STRIP,piroxicam 20 0 mg,10.0,17
source_6-75781,dolocare 500 mg tablet,source_6,False,39.0,39.0,alkem laboratories ltd,STRIP,paracetamol acetaminophen 500 0 mg,10.0,30
source_2-39609,dolocare 500mg tablet,source_2,True,49.31,40.43,alkem laboratories ltd,Unknown,paracetamol acetaminophen 500mg,31.0,30
source_6-75782,dolocare injection 2ml,source_6,True,13.0,11.44,vensat bio,INJECTION,piroxicam,2.0,18
source_6-75783,dolocef 250mg strip 10 tablet,source_6,True,410.0,360.8,dolphin laboratories,STRIP,cefradine 250 0 mg,10.0,30
source_6-75784,dolocef 500 mg tablet 10,source_6,True,410.0,360.8,dolphin healthcare pvt ltd,STRIP,cefuroxime 500 0 mg,10.0,30
source_1-65112,dolocel plus tablet,source_1,True,80.0,70.4,cian health care pvt ltd,Strip | Tablet,diclofenac 50mg paracetamol 325mg serratiopeptidase 10mg,10.0,27
source_1-65113,dolocel sp 50mg 10mg tablet,source_1,True,95.2,83.776,cian health care pvt ltd,Strip | Tablet,diclofenac 50mg serratiopeptidase 10mg,10.0,27
source_1-65114,dolocem 20mg tablet dt,source_1,True,70.0,61.6,netprime pharma pvt ltd,Strip | Tablet,piroxicam 20mg,10.0,17
source_1-65115,dolocerin tablet 10,source_1,False,85.0,74.8,zydus cadila,Strip | Tablet,unknown,10.0,1
source_2-39610,dolocet 325 mg 37 5 mg tablet,source_2,True,46.23,37.91,micro labs ltd,Unknown,paracetamol acetaminophen 325mg tramadol 37 5mg,27.4,28
source_6-75785,dolocet 400mg tablet,source_6,True,45.0,39.6,micro labs,STRIP,paracetamol tramadol,10.0,28
source_7-90389,dolocet p 100mg 325mg tablet,source_7,True,37.52,32.76,caplet india pvt ltd,Unknown,aceclofenac 100mg paracetamol 325mg,10.0,27
source_1-65116,dolocet p tablet 10,source_1,True,37.5,33.0,caplet india pvt ltd,Strip | Tablet,aceclofenac 100mg paracetamol 325mg,10.0,27
source_6-75786,dolochek 100mg strip 10 tablet,source_6,True,22.12,19.69,indoco remedies ltd,STRIP,aceclofenac 100 0 mg,10.0,20
source_2-39611,dolochek 100mg tablet,source_2,True,22.12,18.14,indoco remedies ltd,Unknown,aceclofenac 100mg,26.4,20
source_2-39612,dolochek 200mg tablet sr,source_2,True,31.99,26.23,indoco remedies ltd,Unknown,aceclofenac 200mg,7.6,20
source_7-90392,dolochek p 100mg 500mg tablet,source_7,True,37.0,32.31,indoco remedies ltd,Unknown,aceclofenac 100mg paracetamol 500mg,10.0,27
source_6-75787,dolochek p strip 10 tablet,source_6,True,76.0,66.88,indoco remedies ltd,STRIP,aceclofenac 100 0 mg paracetamol acetaminophen 500 0 mg,10.0,27
source_6-75788,dolochek sr 200mg strip 10 tablet,source_6,True,267.3,235.22,indoco remedies ltd,STRIP,aceclofenac 200 0 mg,10.0,20
source_2-39614,dolocide k 50mg tablet,source_2,True,15.1,12.38,kee pharma,Unknown,diclofenac 50mg,8.4,27
source_6-75789,dolocide k plus strip 10 tablet,source_6,True,89.6,139.084,kee pharma,STRIP,diclofenac potassium,10.0,27
source_6-75790,dolocide k strip 10 tablet,source_6,True,13.5,11.88,kee pharma,STRIP,diclofenac 50 0 mg,10.0,27
source_6-75791,dolocide kp strip 10 tablet,source_6,True,19.8,17.42,kee pharma,STRIP,diclofenac paracetamol,10.0,27
source_2-39615,dolocide kp tablet,source_2,True,19.8,16.24,kee pharma,Unknown,diclofenac 50mg paracetamol acetaminophen 650mg,30.0,27
source_1-65119,dolocide mr 250mg tablet,source_1,True,128.0,112.6,kee pharma ltd,Strip | Tablet,chlorzoxazone 250mg diclofenac 50mg paracetamol 325mg,10.0,27
source_6-75792,dolocide mr strip 10 tablet,source_6,True,98.44,86.63,kee pharma,STRIP,chlorzoxazone 200 0 mg diclofenac 50 0 mg paracetamol acetaminophen 325 0 mg,10.0,27
source_2-39616,dolocide mr tablet,source_2,True,97.0,79.54,kee pharma,Unknown,chlorzoxazone 250mg diclofenac 50mg paracetamol ac,24.0,27
source_2-39617,dolocide plus 1 16 gel,source_2,True,66.0,54.12,kee pharma,Unknown,diclofenac 1 16,10.0,27
source_6-75793,dolocide plus gel 30gm,source_6,False,66.0,58.08,kee pharma,TUBE,diclofenac 1 0 linseed oil 3 0 menthol 5 0 methyl salicylate 10 0,30.0,5
source_2-39618,dolocide plus tablet,source_2,True,18.86,15.47,kee pharma,Unknown,chlorzoxazone 250mg diclofenac 50mg paracetamol ac,27.0,27
source_2-39619,dolocip 20mg tablet dt,source_2,True,30.0,24.6,cipla ltd,Unknown,piroxicam 20mg,20.0,17
source_6-75794,dolocip dt 20mg tablet,source_6,True,34.5,30.36,cipla ltd,STRIP,piroxicam 20 0 mg,10.0,17
source_6-75795,doloco gel 30gm,source_6,False,90.0,90.0,aero chem neutron pvt ltd,TUBE,diclofenac 1 16 menthol 5 0 methyl salicylate 10 0 linseed oil 3 0,30.0,5
source_6-75796,doloco tablet,source_6,True,49.0,43.12,veritaz healthcare ltd,STRIP,chlorzoxazone diclofenac sodium paracetamol,10.0,27
source_1-65120,dolocold adult nasal spray,source_1,False,57.0,50.2,micro labs ltd,Bottle | Nasal Spray,xylometazoline 200mg,1.0,9
source_2-39620,dolocold d oral suspension,source_2,True,51.75,42.44,micro labs ltd,Unknown,chlorpheniramine maleate 2mg paracetamol acetamino,21.0,30
source_1-65121,dolocold d suspension 60 ml,source_1,True,73.0,64.2,micro labs ltd,Bottle | Suspension,chlorpheniramine 2mg paracetamol 250mg phenylephrine 5mg,60.0,30
source_6-75797,dolocold d syrup 60ml,source_6,True,61.45,52.23,micro labs,BOTTLE,chlorpheniramine maleate 2 0 mg phenylephrine 5 0 mg paracetamol acetaminophen 250 0 mg,60.0,30
source_2-39621,dolocold junior nasal drop,source_2,True,34.53,28.31,micro labs ltd,Unknown,xylometazoline 0 05 w v,18.8,9
source_1-65122,dolocold junior nasal drop 10 ml,source_1,False,36.68,32.2784,micro labs ltd,Bottle | Nasal Drops,xylometazoline 0 05 w v,10.0,9
source_2-39622,dolocold syrup,source_2,True,38.0,31.16,micro labs ltd,Unknown,chlorpheniramine maleate 1mg paracetamol acetamino,30.0,30
source_1-65124,dolocold syrup 60 ml,source_1,True,58.0,51.1,micro labs ltd,Bottle | Syrup,caffeine 30mg chlorpheniramine 2mg paracetamol 325mg phenylephrine 10mg,60.0,30
